Assistance,Agency,Address,City,State,Zip,County,Services,Eligibility,Hours,Phone,Website,Latitude,Longitude
Food Pantry,SILVER THREAD PUBLIC HEALTH DISTRICT,304 W 3rd St,Lake City,CO,81235,HINSDALE COUNTY,"Provides a food box to individuals, seniors and families in need.",Individuals in the service area Area Served: Hinsdale County,"Monday - Friday, 8 a.m. - 4:30 p.m.",(970) 944-0321,http://silverthreadpublichealth.org,38.028217,-107.31449
Food Pantry,PINE RIVER SHARES,658 S East St,Bayfield,CO,81122,LA PLATA COUNTY,Provides food for community members in need of assistance. Also offers a backpack of food for students attending the following schools to take home every weekend: Bayfield Elementary School Bayfield Primary SchoolIgnacio Elementary Schoo...,"Must be residents of Bayfield and the Pine River Valley Area Served: Zip Codes Served:  81122, 81137, 81121","Monday - Thursday, 9 a.m. - 3 p.m.",(970) 884-6040,http://pinerivershares.org,37.2240474,-107.5983059
Food Pantry,COMMUNITY UNITED METHODIST CHURCH OF PAGOSA SPRINGS,434 Lewis St,Pagosa Springs,CO,81147,ARCHULETA COUNTY,Provides food to individuals and families in Archuleta County who are in need. Services limited to one time a week per individual.,No restrictions applied Area Served: Archuleta County,"Tuesday - Thursday, 8 a.m. - 12 p.m.",(970) 264-5508,http://cumcps.org,37.2678233,-107.0117959
Food Pantry,RESTORATION FELLOWSHIP,264 Village Dr,Pagosa Springs,CO,81147,ARCHULETA COUNTY,Provides food boxes for residents of Archuleta County. -Provides food delivery to homebound individuals,No restrictions. Area Served: Archuleta County,"Monday-Friday, 8:00am-5:00pm",(970) 731-2937,http://restorationfellowship.net,37.2580963,-107.0750371
Food Pantry,OURAY COUNTY FOOD PANTRY,602 N Cora St,Ridgway,CO,81432,OURAY COUNTY,Provides groceries based on a shopping list for those in need. The number of people in the household determines the amount of food received...,Individuals must be a resident of Ouray County. Area Served:  Ouray County,"Thursday, 12:30 pm - 3:30 pm",(970) 626-4273,http://ouraycountyfoodpantry.org,38.156621,-107.7572652
Food Assistance,LOVE INC OF THE YAMPA VALLEY,1198 W Victory Way,Craig,CO,81625,MOFFAT COUNTY,Provides food to qualified individuals and families through: The Emergency Food Assistance Program (TEFAP) The Commodity Supplemental Food Program (CSFP)Donation...,"For TEFAP assistance, households must meet the following income guidelines or be participating in one of the programs l...","3rd Tuesday, 10 a.m. - 12 p.m.; 3rd Thursday, 3 p...",(970) 826-4400,http://loveincyampavalley.org/services,40.5142641,-107.5612612
Food Pantry,CONNECTIONS 4 LIFE,6436 S U.S. Hwy 85/87 Unit U,Colorado Springs,CO,80911,EL PASO COUNTY,Provides a food pantry to residents in need.,Residents of the service area Area Served: El Paso County,Hours Vary,(719) 387-9919,http://connections4lifecenter.org,38.745604,-104.738987
Food Pantry,GOD'S PANTRY MINISTRY,30 Widefield Blvd,Colorado Springs,CO,80911,EL PASO COUNTY,Provides a food pantry.,No restrictions applied Area Served: El Paso County,"Monday - Saturday, 9 a.m. - 3 p.m.",(719) 382-0643,http://godspantryco.org,38.7360794,-104.7271127
Food Pantry,GRAND VALLEY CATHOLIC OUTREACH,245 S 1st St,Grand Junction,CO,81501,MESA COUNTY,Provides food box for Mesa County residents in need on a once-a-month basis. Food type is available depending on donated items available...,No restrictions applied Area Served: Mesa County,"Monday - Friday, 9 a.m. - 11:30 a.m.",(970) 241-3658,http://catholicoutreach.org,39.0655869,-108.5712505
Food Assistance,WOODLAND PARK COMMUNITY CHURCH,700 Valley View Dr Unit D,Woodland Park,CO,80863,TELLER COUNTY,Provides emergency food necessities and delivers pre-cooked meals for individuals in need.,"No restrictions applied Area Served: Zip Codes Served:  80813, 80814, 80816, 80860, 80863, 80866, 81155","Monday - Thursday, 9 a.m. - 12 p.m.",(719) 229-4512,http://woodlandparkcommunitychurch.com/storehouse,39.0121422,-105.0620232
Food Pantry,LA PLATA FAMILY CENTERS COALITION,495 Florida Rd,Durango,CO,81301,LA PLATA COUNTY,"Provides a food box to families in need in the community, including:Baby food Formula Diapers","No restriction applied Area Served: La Plata, San Juan counties","Monday - Thursday, 8:30 a.m. - 4:30 p.m.; Friday,...",(970) 385-4747,http://lpfcc.org,37.2838609,-107.8699575
Food Pantry,CENTER TOWARD SELF-RELIANCE,901 W 8th St,Pueblo,CO,81003,PUEBLO COUNTY,Food Pantry provides food assistance to low-income individuals who are in need,"Open to the Public, low-income individuals who are in need Area Served: Pueblo County","Monday - Friday, 8 a.m. - 4:30 p.m.",(719) 546-1271,https://cfdpueblo.org,38.274091,-104.6197
Food Pantry,CITY OF COLORADO SPRINGS,4290 Deerfield Hills Rd,Colorado Springs,CO,80916,EL PASO COUNTY,Provides a drive-thru style food pantry to those in need.,No restrictions applied Area Served: El Paso County,"Monday - Friday, 9 a.m. - 6 p.m.",(719) 385-5996,http://coloradosprings.gov/deeraeld-hills-community-center,38.7845737,-104.7478808
Food Pantry,NEW LIFE COMMUNITY CHURCH,17690 E Iliff Ave,Aurora,CO,80013,ARAPAHOE COUNTY,Provides bags of food to the community. The pantry may be visited on a monthly or bi-monthly basis.,"No restrictions applied Area Served: Adams, Arapahoe, Broomfield, Denver, Douglas, Jefferson counties","Tuesday, 1 p.m. - 4 p.m.; Saturday, 10 a.m. - 1 p...",(303) 368-7567,http://nlccaurora.org,39.6746072,-104.7782004
