Assistance,Agency,Address,City,State,Zip,County,Services,Eligibility,Hours,Phone,Website,Latitude,Longitude
Temporary Overnight Shelter,FAMILY HOUSING NETWORK,1606 S Lemay Ave Suite 103,Fort Collins,CO,80525,LARIMER COUNTY,Provides a temporary overnight shelter for families for up to 3-4 months. Shelter locations rotate weekly among various faith communities in Fort Collins...,"Eligibility: Eligible adults must:Have at least one child aged 18 or younger (or still in high school) Act in a parental role, and be...","Monday - Friday, 9 a.m. - 5 p.m. (Administrative ...",(970) 484-3342,http://familyhousingnetwork.org/our-programs,40.5665586,-105.0569249
Veteran Housing Transitional Housing Program,VOLUNTEERS OF AMERICA COLORADO,1055 Avenida Del Sol,Durango,CO,81301,LA PLATA COUNTY,Provides veterans and their families shelter and support to get back on their feet. A case manager works with the veteran and their family to develop individualized goals to address barriers toward stable housing...,Eligibility: Veterans aged 18 and older who are homeless or at-risk of homelessness with a discharge status other than dishonorable ...,"Monday - Friday, 8 a.m. - 5 p.m. (Administrative ...",(970) 259-1255,http://voacolorado.org/gethelp-southernco-vethousing,37.2766819,-107.8841553
Substance Abuse Services,A WAY OUT,PO Box 1124,Carbondale,CO,81623,PITKIN COUNTY,"Offers services that helps those suffering from drug or alcohol addiction, including:Drug and alcohol addiction counseling Substance use disorder/mental health assessmentsTransitional housing for AWO qualifying clientsReferrals to treatment centers, sober living facilities and detoxFinancial assistance for in-patient treatment centers and sober living facilitiesA year of case-managed aftercar...","Eligibility: Individuals must be a resident of the service area for 12 months or more and be aged 13 and older Area Served:Eagle, Ga...","Monday - Friday, 9 a.m. - 5 p.m.",(970) 340-4505,http://awayout.org,39.4005647,-107.2112407
Homeless Motel Assistance,CARING & SHARING SALIDA,220 W 4th St,Salida,CO,81201,CHAFFEE COUNTY,Provide short-term emergency housing on a case-by-case basis.,Eligibility: Individuals and families experiencing homelessness Area Served: Chaffee County,"Monday - Saturday, 10:30 a.m. - 1:30 p.m.",(719) 539-4849,http://salidacaringsharing.org,38.5347855,-105.9960964
Housing for Pregnant Women and Women with Children,CATHOLIC CHARITIES OF DENVER,6240 Smith Rd,Denver,CO,80207,DENVER COUNTY,"Provides housing and supportive services for pregnant women and women with children, for as long as needed in a communal living environment...","Eligibility: Pregnant women and female-identifying women who: Are aged 18 or olderHave children Boys, aged 0 - 12 Girls, any age Have at...","Monday - Thursday, 8 a.m. - 5 p.m.; Friday, 8:30 ...",(720) 799-9400,http://ccdenver.org/marisolservices/marisol-homes/,39.7753959,-104.9422916
Transitional Shelter for Single Women,CATHOLIC CHARITIES OF DENVER,2301 Lawrence St,Denver,CO,80205,DENVER COUNTY,Provides shelter for up to 6 months for single women in need of housing. Program is intended to prepare individuals for more intensive housing programs...,"Eligibility: Single women aged 18 and older Area Served: Adams, Arapahoe, Boulder, Broom`eld, Denver, Douglas, Jefferson counties","Monday - Friday, 8:30 a.m. - 5 p.m. (Administrati...",(720) 799-9506 (Samaritan House at 48th),No Website Listed,39.7556512,-104.9872002
Transitional Housing,DREAM CENTERS,3650 Airport Rd,Colorado Springs,CO,80910,EL PASO COUNTY,"Provides transitional housing for homeless or imminently homeless adult women who are TANF, CCCAP and SNAP eligible, with three or less children eight years of age or younger...","Eligibility: Homeless or imminently homeless women aged 18 and older who are TANF, CCCAP and SNAP eligible, with three or less child...",24 hours/7 days a week,(719) 301-5411,http://dreamcenters.com/marys-home/apply/,38.8255421,-104.7651236
Overflow Shelter for Single Women & Families,CATHOLIC CHARITIES LARIMER COUNTY,460 Linden Center Dr,Fort Collins,CO,80524,LARIMER COUNTY,"Provides nightly, year-round overnight shelter for families with children and single adult females.","Eligibility: Female gender served only. There is family units available only If a couple needs a place to stay, and the female partn...","Monday - Friday, 8:30 a.m. - 12 p.m., 1 p.m. - 5...",(970) 493-0141 (Shelter),http://ccdenver.org/larimer/,40.5947368,-105.0692106
Shelter for Families,HOPE @ MIRACLE HOUSE,Main Street,Fort Lupton,CO,80621,WELD COUNTY,"Seeks to address the needs of homeless families through safe shelter, food, and supportive services.","Eligibility: Families experiencing homelessness Area Served:Adams, Weld counties",Hours Vary,(720) 676-9697 (Message Line),http://hopeatmiraclehouse.org,40.0797861,-104.8096984
Transitional Housing for Single Adults,ITHAKA HOUSING,321 Mesa Rd,Colorado Springs,CO,80905,EL PASO COUNTY,"Provides transitional housing, in a group home setting, for individual men aged 25 and older who are willing and able to work full-time...","Eligibility: Individuals must: Be single men (no couples, children, or pets)Be aged 25 Be willing and able to work full-time Receive t...","Monday - Thursday, 8 a.m. - 5 p.m.",(719) 578-1629,http://ithakaland.org,38.8457952,-104.8316252
Drop-In Center,MILE HIGH BEHAVIORAL HEALTHCARE,13387 E 19th Pl,Aurora,CO,80011,ADAMS COUNTY,Provides the following drop-in services: Breakfast and lunch Hygiene items Showers Laundry services Sleeping bags Mail and document retention Medication storage Dental and medical services Housing assistance Employment services Financial literacy Pet food Pet health services Computer lab HIV/Hepatitis C testing Acute behavioral health service...,Eligibility: No restrictions applied Area Served: Adams County,"Monday - Friday, 7:30 a.m. - 4:30 p.m. (Drop-In H...",(303) 341-9160,http://comitiscrisiscenter.org/aurora-day-resource-center,39.7466731,-104.8316117
Transitional Housing,HASEYA ADVOCATE PROGRAM,I-25,Colorado Springs,CO,80903,EL PASO COUNTY,Provides transitional housing for Native American/American Indian individuals fleeing domestic violence and/or sexual assault.,Eligibility: Available to Native American survivors of domestic violence and sexual assault who are aged 18 or older and residents o...,"Monday, Wednesday, Thursday 9:00 a.m. - 3:00 p.m....",(719) 660-3939,http://haseya.org,38.8381918,-104.8303286
Transitional Housing for Young Men,PROVIDENCE NETWORK,801 Logan St,Denver,CO,80203,DENVER COUNTY,Provides transitional housing and wrap-around services for young men who have been experiencing homelessness.,Eligibility: Young men aged 18 - 25 years and transitioning from homelessness Area Served:Statewide,"Monday - Friday, 8 a.m. - 5 p.m. (Administrative ...",(303) 860-8404,http://providencenetwork.org,39.7293389,-104.9827188
Transitional Supportive Housing,GRAND VALLEY CATHOLIC OUTREACH,245 S 1st St,Grand Junction,CO,81501,MESA COUNTY,"Provides individuals with the opportunity to end homelessness through cooperative living, case management, and training.",Eligibility: Individuals experiencing homelessness in the service area Area Served:Mesa County,"Monday - Friday, 9 a.m. - 11:30 a.m.",(970) 241-3658,http://catholicoutreach.org,39.0655869,-108.5712505
Permanent Supportive Housing,GRAND VALLEY CATHOLIC OUTREACH,245 S 1st St,Grand Junction,CO,81501,MESA COUNTY,Provides homes to those with mental or physical impairments who have been chronically homeless and are free from drug abuse.,Eligibility: Individuals and families living with mental or physical conditions Area Served:Mesa County,"Monday - Friday, 9 a.m. - 11:30 a.m.",(970) 241-3658,http://catholicoutreach.org,39.0655869,-108.5712505
Homeless Youth Services,POSADA OF PUEBLO,501 Belmont Ave,Pueblo,CO,81004,PUEBLO COUNTY,"Provide transitionl housing, basic needs support, case management. Provide Housing counseling, life skills, education and employment assistance, legal services, mental health and substance abuse counseling...","Eligibility: Youth 18-24 years experiencing homelessness, or are temporarily staying with friends or other family members, sleeping ...","Monday - Friday, 8 a.m. - 4 p.m. (By Appointment ...",(719) 545-8776,http://www.posadapueblo.org,38.258448,-104.638301
Overnight Shelter,ALL ROADS SHELTER,4869 Broadway,Boulder,CO,80304,BOULDER COUNTY,Offers a overnight shelter and services for adults experiencing homelessness. Also provides long-term shelter to homeless adults with moderate and high needs in Boulder County to give them a predictable place to stay while they work toward exiting homelessness...,Eligibility: Adults must:Be aged 18 and olderBe experiencing homelessness First go through the countywide Coordinated Entry System Ar...,"Monday - Sunday, Hours Vary",(303) 579-4404 (Boulder),http://allroadsboco.org/housing-focused-shelter/,40.0625882,-105.282615
Employment Services,BRIDGE HOUSE,3176 S Peoria Ct,Denver,CO,80014,ARAPAHOE COUNTY,Offers employment services that provide:Paid jobsVocational training Support servicesStable housing for individuals re-entering the workforc...,Eligibility: Individuals aged 18 and older who are experiencing homelessness Area Served:Boulder County,"Monday - Friday, 10 a.m. - 3 p.m.",(303) 442-8300,http://boulderbridgehouse.org,39.661077,-104.847177
Older Adult Program,CATHOLIC CHARITIES WELD COUNTY,240 S Denver Ave,Fort Lupton,CO,80621,WELD COUNTY,Offers services for older adults to help keep them safe and independent in their own homes. Services include: Case management Advocacy Benefit forms assistance Home visits Information and referrals Group and educational materials Translation/interpretation services Commodities and emergency food boxes Health and safety assessment...,Eligibility: Weld County residents aged 60 and older Area Served: Weld County,"Monday - Friday, 9 a.m. - 12 p.m., 1 p.m. - 3 p.m.",(970) 353-6433,http://ccdenver.org,40.0786033,-104.8104118
Short Term Shelter for Families,CATHOLIC CHARITIES OF DENVER,2301 Lawrence St,Denver,CO,80205,DENVER COUNTY,"Provides a short term living shelter to parents/guardians with children. The average stay is 2 weeks. However, extensions may be given for a maximum of 120 days...",Eligibility: Families must be parents or guardians with children experiencing homelessness. Children aged 18 and older will be consi...,"Monday - Friday, 8:30 a.m. - 5 p.m. (Administrati...",(303) 295-3366 (Connection Center),http://ccdenver.org/denver-samaritan-house/,39.7556512,-104.9872002
Emergency Shelter for Families,MILE HIGH BEHAVIORAL HEALTHCARE,2178 Victor St,Aurora,CO,80045,ADAMS COUNTY,Offers up to one week of emergency shelter for individuals with dependent children and their partners.,Eligibility: Individuals must have dependent children aged 18 years or younger. Sex offenders and unaccompanied minors are not accep...,"Monday - Friday, 5 p.m. - 7 a.m. (Shelter Hours)",(303) 341-9160 (Family Lottery Line),http://comitiscrisiscenter.org/comitis-crisis-center,39.7492153,-104.8329055
Transitional Housing for Women and Children,PROVIDENCE NETWORK,801 Logan St,Denver,CO,80203,DENVER COUNTY,Provides a 2-year transitional housing program and wrap-around services for women with children who have experienced domestic violence...,"Eligibility: Women, aged 18 or older, with children who have experienced domestic violence Area Served: Statewide","Monday - Friday, 8 a.m. - 5 p.m. (Administrative ...",(303) 860-8404,http://sites.google.com/providencenetwork.org/joyhouseorientation/home,39.7293389,-104.9827188
Transitional Housing for Families,FAMILY HOMESTEAD,2520 E 37th Ave,Denver,CO,80205,DENVER COUNTY,Provides transitional housing and case management services to 1 or 2 parent families with children who are experiencing homelessness...,Eligibility: Families who:Are experiencing homelessnessHave children aged 0 - 18 Have full custody of children Have at least 1 adult i...,"Monday - Friday, 8 a.m. - 4:30 p.m.",(303) 623-6514,http://familyhomestead.org,39.7680453,-104.9569554
Shelter for Women with Children,FAMILY TREE,3301 S Grant St,Englewood,CO,80113,ARAPAHOE COUNTY,"Provides safe shelter, basic needs, and supportive services for women with children for up to 90 days. Also partners families with a case manager to create and complete goals to achieve economic independence, which can include:Assistance with:Navigating housing options Programs Applications Employment, education, and job skills training Connections to childcare and school for children On-site health clinic staffed by volunteer doctors and nurses Community referrals for other resources Weekly resident meeting...",Eligibility: Women with children aged 17 and under in custody Area Served:Statewide,24 hours/7 days a week (Shelter Facility Hours),(303) 762-9525,http://thefamilytree.org/house-hope,39.656701,-104.984207
Drop-In Center and Outreach Services for Youth,URBAN PEAK,2100 Stout St,Denver,CO,80205,DENVER COUNTY,"Offers a drop-in center for youth who are experiencing homelessness. Provides:Temporary daytime shelter Hot breakfast Sack lunches Dinner Laundry services Showers Basic medical services HIV and Hepatitis-C testing Case management Activity-based classes Life skills courses Referrals to community resources Assistance obtaining documentation such as, birth certificates, driver's licenses, and state IDs Also provides an Outreach Team, who seek out youth experiencing homelessness to develop relationships and provide: Hygiene supplies Clothing Food & water Harm reduction supplie...",Eligibility: Youth aged 15 - 24 Area Served: Statewide,"Monday - Friday, 8 a.m. - 5 p.m. (Administrative ...",(303) 974-2900,http://urbanpeak.org/cnd-help-now#drop-in,39.7504559,-104.9866068
Shelter for Single Women and Families,SACRED HEART HOUSE OF DENVER,2844 Lawrence St,Denver,CO,80205,DENVER COUNTY,Provides short-term (30-day) emergency housing and supportive services for female identifying clients.,Eligibility: Individuals must: Be women who are experiencing homelessness with children Single women Transgender individuals who identi...,"Monday - Friday, 8 a.m. - 12 p.m. (Office Hours)",(303) 296-6686,http://sacredhearthouse.com,39.7602029,-104.9810533
Emergency Shelter for Families,SALVATION ARMY DENVER,2741 N. Federal Boulevard,Denver,CO,80211,DENVER COUNTY,Provides emergency shelter for families and legal guardians with children. Participating families are provided a room to sleep in and intensive case management...,"Eligibility: Applicants must have full custody of a child aged 18 and younger and be experiencing homelessness Area Served:Adams, Ar...","Monday - Friday, 7 a.m. - 8 p.m.; Saturday, Sunda...",(303) 295-3366,http://lambuthfamilycenter.salvationarmy.org,39.756521,-105.025345
Day Shelter for Single Adults,ST FRANCIS CENTER,2323 Curtis Street,Denver,CO,80205,DENVER COUNTY,"Offers a drop-in day shelter for single adults. Shelter is open year-round. Services include: Phone charging stations Message and mail service Local and long-distance telephone calls Showers Clothing in exchange for chores Storage for 1 bag On-site benefits applications and support with Denver Human Services available on weekdays Assistance with ID vouchers and DMV appointments Limited RTD bus fare, as available (once a month for verified medical, mental health, or parole/probation appointments only...",Eligibility: Individuals must be aged 18 and older Area Served: Statewide,"Monday, Tuesday, Thursday, Friday, 7 a.m. - 3 p.m...",(303) 297-1576,http://sfcdenver.org/day_services.html,39.7543166,-104.9860842
"Community Shelter for Men, Women, & Families",VOLUNTEERS OF AMERICA COLORADO,1055 Avenida Del Sol,Durango,CO,81301,LA PLATA COUNTY,"Provides a residential shelter for men, women, and families. with services, sleeping quarters, and communal living spaces, including: KitchenLiving room Dining roomServices provided: Residential Shelter Services Telephone Crisis Line Provision of all basic needs, including: Meals Shower and laundry facilities Clothing and personal hygiene supplies Extensive resource referral and task-oriented counseling for employment, housing and services acquisition Medical respite bed progra...",Eligibility: Must be individuals experiencing homelessness. Children aged 18 and younger must be accompanied by an adult. Area Serve...,"Monday - Friday, 8 a.m. - 5 p.m. (Administrative ...",(970) 259-1255,http://voacolorado.org/gethelp-southernco-durangocommunityshelter,37.2766819,-107.8841553
